result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5094, 23701633 req, miss ratio 0.5870, byte miss ratio 0.5870
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15283, 23701633 req, miss ratio 0.5463, byte miss ratio 0.5463
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    50945, 23701633 req, miss ratio 0.5044, byte miss ratio 0.5044
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   152836, 23701633 req, miss ratio 0.4722, byte miss ratio 0.4722
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   509453, 23701633 req, miss ratio 0.4154, byte miss ratio 0.4154
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1018907, 23701633 req, miss ratio 0.3523, byte miss ratio 0.3523
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  2037815, 23701633 req, miss ratio 0.2734, byte miss ratio 0.2734
result/tencentBlock.ns3246.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  4075631, 23701633 req, miss ratio 0.2159, byte miss ratio 0.2159
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5094, 23701633 req, miss ratio 0.5782, byte miss ratio 0.5782
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15283, 23701633 req, miss ratio 0.5364, byte miss ratio 0.5364
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    50945, 23701633 req, miss ratio 0.4986, byte miss ratio 0.4986
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   152836, 23701633 req, miss ratio 0.4697, byte miss ratio 0.4697
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   509453, 23701633 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1018907, 23701633 req, miss ratio 0.3568, byte miss ratio 0.3568
result/tencentBlock.ns3246.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  2037815, 23701633 req, miss ratio 0.2734, byte miss ratio 0.2734
