result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4189, 5514629 req, miss ratio 0.8995, byte miss ratio 0.8995
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12569, 5514629 req, miss ratio 0.8926, byte miss ratio 0.8926
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    41897, 5514629 req, miss ratio 0.8709, byte miss ratio 0.8709
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   125693, 5514629 req, miss ratio 0.8692, byte miss ratio 0.8692
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   418979, 5514629 req, miss ratio 0.8422, byte miss ratio 0.8422
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   837959, 5514629 req, miss ratio 0.8107, byte miss ratio 0.8107
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1675919, 5514629 req, miss ratio 0.7728, byte miss ratio 0.7728
result/tencentBlock.ns1847.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  3351839, 5514629 req, miss ratio 0.7610, byte miss ratio 0.7610
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4189, 5514629 req, miss ratio 0.8993, byte miss ratio 0.8993
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12569, 5514629 req, miss ratio 0.8925, byte miss ratio 0.8925
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    41897, 5514629 req, miss ratio 0.8709, byte miss ratio 0.8709
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   125693, 5514629 req, miss ratio 0.8692, byte miss ratio 0.8692
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   418979, 5514629 req, miss ratio 0.8422, byte miss ratio 0.8422
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   837959, 5514629 req, miss ratio 0.8107, byte miss ratio 0.8107
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1675919, 5514629 req, miss ratio 0.7728, byte miss ratio 0.7728
result/tencentBlock.ns1847.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  3351839, 5514629 req, miss ratio 0.7610, byte miss ratio 0.7610
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size     4189, 5514629 req, miss ratio 0.9034, byte miss ratio 0.9034
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size    12569, 5514629 req, miss ratio 0.9011, byte miss ratio 0.9011
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size    41897, 5514629 req, miss ratio 0.8908, byte miss ratio 0.8908
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size   125693, 5514629 req, miss ratio 0.8784, byte miss ratio 0.8784
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size   418979, 5514629 req, miss ratio 0.8648, byte miss ratio 0.8648
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size   837959, 5514629 req, miss ratio 0.8258, byte miss ratio 0.8258
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size  1675919, 5514629 req, miss ratio 0.7810, byte miss ratio 0.7810
result/tencentBlock.ns1847.oracleGeneral.bin                             FIFO cache size  3351839, 5514629 req, miss ratio 0.7644, byte miss ratio 0.7644
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size     4189, 5514629 req, miss ratio 0.9010, byte miss ratio 0.9010
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size    12569, 5514629 req, miss ratio 0.9000, byte miss ratio 0.9000
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size    41897, 5514629 req, miss ratio 0.8896, byte miss ratio 0.8896
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size   125693, 5514629 req, miss ratio 0.8778, byte miss ratio 0.8778
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size   418979, 5514629 req, miss ratio 0.8645, byte miss ratio 0.8645
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size   837959, 5514629 req, miss ratio 0.8162, byte miss ratio 0.8162
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size  1675919, 5514629 req, miss ratio 0.7732, byte miss ratio 0.7732
result/tencentBlock.ns1847.oracleGeneral.bin                              LRU cache size  3351839, 5514629 req, miss ratio 0.7606, byte miss ratio 0.7606
result/tencentBlock.ns1847.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     4189, 5514629 req, miss ratio 0.8995, byte miss ratio 0.8995
