result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      159, 2400000 req, miss ratio 0.4922, byte miss ratio 0.4922
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      479, 2400000 req, miss ratio 0.4814, byte miss ratio 0.4814
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1599, 2400000 req, miss ratio 0.4750, byte miss ratio 0.4750
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4797, 2400000 req, miss ratio 0.4275, byte miss ratio 0.4275
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15990, 2400000 req, miss ratio 0.3277, byte miss ratio 0.3277
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    31980, 2400000 req, miss ratio 0.2349, byte miss ratio 0.2349
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    63961, 2400000 req, miss ratio 0.1182, byte miss ratio 0.1182
result/io_traces.ns389.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   127923, 2400000 req, miss ratio 0.0695, byte miss ratio 0.0695
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      159, 2400000 req, miss ratio 0.4915, byte miss ratio 0.4915
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      479, 2400000 req, miss ratio 0.4801, byte miss ratio 0.4801
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1599, 2400000 req, miss ratio 0.4747, byte miss ratio 0.4747
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4797, 2400000 req, miss ratio 0.4278, byte miss ratio 0.4278
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15990, 2400000 req, miss ratio 0.3289, byte miss ratio 0.3289
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    31980, 2400000 req, miss ratio 0.2302, byte miss ratio 0.2302
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    63961, 2400000 req, miss ratio 0.1207, byte miss ratio 0.1207
result/io_traces.ns389.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   127923, 2400000 req, miss ratio 0.0695, byte miss ratio 0.0695
result/io_traces.ns389.oracleGeneral.bin                             FIFO cache size      159, 2400000 req, miss ratio 0.5427, byte miss ratio 0.5427
