result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3569, 24400000 req, miss ratio 0.3341, byte miss ratio 0.3341
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10709, 24400000 req, miss ratio 0.2982, byte miss ratio 0.2982
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    35699, 24400000 req, miss ratio 0.2631, byte miss ratio 0.2631
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   107099, 24400000 req, miss ratio 0.2166, byte miss ratio 0.2166
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   356997, 24400000 req, miss ratio 0.1749, byte miss ratio 0.1749
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   713994, 24400000 req, miss ratio 0.1648, byte miss ratio 0.1648
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1427989, 24400000 req, miss ratio 0.1560, byte miss ratio 0.1560
result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  2855978, 24400000 req, miss ratio 0.1465, byte miss ratio 0.1465
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3569, 24400000 req, miss ratio 0.3351, byte miss ratio 0.3351
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10709, 24400000 req, miss ratio 0.3078, byte miss ratio 0.3078
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    35699, 24400000 req, miss ratio 0.2684, byte miss ratio 0.2684
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   107099, 24400000 req, miss ratio 0.2056, byte miss ratio 0.2056
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   356997, 24400000 req, miss ratio 0.1747, byte miss ratio 0.1747
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   713994, 24400000 req, miss ratio 0.1648, byte miss ratio 0.1648
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1427989, 24400000 req, miss ratio 0.1560, byte miss ratio 0.1560
result/io_traces.ns354.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  2855978, 24400000 req, miss ratio 0.1465, byte miss ratio 0.1465
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size     3569, 24400000 req, miss ratio 0.4197, byte miss ratio 0.4197
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size    10709, 24400000 req, miss ratio 0.3204, byte miss ratio 0.3204
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size    35699, 24400000 req, miss ratio 0.2333, byte miss ratio 0.2333
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size   107099, 24400000 req, miss ratio 0.2034, byte miss ratio 0.2034
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size   356997, 24400000 req, miss ratio 0.1808, byte miss ratio 0.1808
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size   713994, 24400000 req, miss ratio 0.1731, byte miss ratio 0.1731
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size  1427989, 24400000 req, miss ratio 0.1619, byte miss ratio 0.1619
result/io_traces.ns354.oracleGeneral.bin                             FIFO cache size  2855978, 24400000 req, miss ratio 0.1478, byte miss ratio 0.1478
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size     3569, 24400000 req, miss ratio 0.3401, byte miss ratio 0.3401
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size    10709, 24400000 req, miss ratio 0.2922, byte miss ratio 0.2922
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size    35699, 24400000 req, miss ratio 0.2230, byte miss ratio 0.2230
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size   107099, 24400000 req, miss ratio 0.1993, byte miss ratio 0.1993
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size   356997, 24400000 req, miss ratio 0.1722, byte miss ratio 0.1722
