result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      100, 3461647 req, miss ratio 0.8799, byte miss ratio 0.8799
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      302, 3461647 req, miss ratio 0.7591, byte miss ratio 0.7591
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1008, 3461647 req, miss ratio 0.4688, byte miss ratio 0.4688
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3026, 3461647 req, miss ratio 0.4611, byte miss ratio 0.4611
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10088, 3461647 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    20176, 3461647 req, miss ratio 0.1769, byte miss ratio 0.1769
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    40353, 3461647 req, miss ratio 0.0467, byte miss ratio 0.0467
result/tencentBlock.ns1874.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    80706, 3461647 req, miss ratio 0.0324, byte miss ratio 0.0324
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      100, 3461647 req, miss ratio 0.8848, byte miss ratio 0.8848
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      302, 3461647 req, miss ratio 0.7195, byte miss ratio 0.7195
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1008, 3461647 req, miss ratio 0.4695, byte miss ratio 0.4695
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3026, 3461647 req, miss ratio 0.4612, byte miss ratio 0.4612
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10088, 3461647 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    20176, 3461647 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    40353, 3461647 req, miss ratio 0.0486, byte miss ratio 0.0486
result/tencentBlock.ns1874.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    80706, 3461647 req, miss ratio 0.0324, byte miss ratio 0.0324
result/tencentBlock.ns1874.oracleGeneral.bin                             FIFO cache size      100, 3461647 req, miss ratio 0.9449, byte miss ratio 0.9449
result/tencentBlock.ns1874.oracleGeneral.bin                             FIFO cache size      302, 3461647 req, miss ratio 0.9041, byte miss ratio 0.9041
result/tencentBlock.ns1874.oracleGeneral.bin                             FIFO cache size     1008, 3461647 req, miss ratio 0.5144, byte miss ratio 0.5144
result/tencentBlock.ns1874.oracleGeneral.bin                             FIFO cache size     3026, 3461647 req, miss ratio 0.4844, byte miss ratio 0.4844
result/tencentBlock.ns1874.oracleGeneral.bin                             FIFO cache size    10088, 3461647 req, miss ratio 0.3768, byte miss ratio 0.3768
