result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      770, 3625918 req, miss ratio 0.4852, byte miss ratio 0.4852
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2312, 3625918 req, miss ratio 0.4682, byte miss ratio 0.4682
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     7707, 3625918 req, miss ratio 0.4440, byte miss ratio 0.4440
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    23121, 3625918 req, miss ratio 0.3984, byte miss ratio 0.3984
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    77071, 3625918 req, miss ratio 0.3283, byte miss ratio 0.3283
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   154142, 3625918 req, miss ratio 0.2662, byte miss ratio 0.2662
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   308284, 3625918 req, miss ratio 0.2428, byte miss ratio 0.2428
result/w89.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   616569, 3625918 req, miss ratio 0.2144, byte miss ratio 0.2144
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      770, 3625918 req, miss ratio 0.4844, byte miss ratio 0.4844
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2312, 3625918 req, miss ratio 0.4670, byte miss ratio 0.4670
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     7707, 3625918 req, miss ratio 0.4361, byte miss ratio 0.4361
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    23121, 3625918 req, miss ratio 0.3963, byte miss ratio 0.3963
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    77071, 3625918 req, miss ratio 0.3192, byte miss ratio 0.3192
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   154142, 3625918 req, miss ratio 0.2656, byte miss ratio 0.2656
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   308284, 3625918 req, miss ratio 0.2428, byte miss ratio 0.2428
result/w89.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   616569, 3625918 req, miss ratio 0.2144, byte miss ratio 0.2144
result/w89.oracleGeneral.bin                              LRU cache size      770, 3625918 req, miss ratio 0.4884, byte miss ratio 0.4884
