result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    14311, 4224524 req, miss ratio 0.3176, byte miss ratio 0.3176
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2215, byte miss ratio 0.2215
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1421, byte miss ratio 0.1421
result/msr_proj_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0843, byte miss ratio 0.0843
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      286, 4224524 req, miss ratio 0.7849, byte miss ratio 0.7849
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     1431, 4224524 req, miss ratio 0.7548, byte miss ratio 0.7548
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     2862, 4224524 req, miss ratio 0.7271, byte miss ratio 0.7271
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     5724, 4224524 req, miss ratio 0.6773, byte miss ratio 0.6773
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    14311, 4224524 req, miss ratio 0.5445, byte miss ratio 0.5445
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    28622, 4224524 req, miss ratio 0.4163, byte miss ratio 0.4163
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    57245, 4224524 req, miss ratio 0.2642, byte miss ratio 0.2642
result/msr_proj_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   114491, 4224524 req, miss ratio 0.0951, byte miss ratio 0.0951
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      286, 4224524 req, miss ratio 0.7410, byte miss ratio 0.7410
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1431, 4224524 req, miss ratio 0.5827, byte miss ratio 0.5827
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2862, 4224524 req, miss ratio 0.5051, byte miss ratio 0.5051
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     5724, 4224524 req, miss ratio 0.4425, byte miss ratio 0.4425
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    14311, 4224524 req, miss ratio 0.3421, byte miss ratio 0.3421
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    28622, 4224524 req, miss ratio 0.2495, byte miss ratio 0.2495
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    57245, 4224524 req, miss ratio 0.1680, byte miss ratio 0.1680
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   114491, 4224524 req, miss ratio 0.1010, byte miss ratio 0.1010
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      286, 4224524 req, miss ratio 0.7173, byte miss ratio 0.7173
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     1431, 4224524 req, miss ratio 0.5557, byte miss ratio 0.5557
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     2862, 4224524 req, miss ratio 0.4757, byte miss ratio 0.4757
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     5724, 4224524 req, miss ratio 0.4191, byte miss ratio 0.4191
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    14311, 4224524 req, miss ratio 0.3213, byte miss ratio 0.3213
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    28622, 4224524 req, miss ratio 0.2247, byte miss ratio 0.2247
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    57245, 4224524 req, miss ratio 0.1474, byte miss ratio 0.1474
result/msr_proj_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   114491, 4224524 req, miss ratio 0.0840, byte miss ratio 0.0840
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      286, 4224524 req, miss ratio 0.7410, byte miss ratio 0.7410
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1431, 4224524 req, miss ratio 0.5827, byte miss ratio 0.5827
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2862, 4224524 req, miss ratio 0.5051, byte miss ratio 0.5051
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     5724, 4224524 req, miss ratio 0.4425, byte miss ratio 0.4425
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    14311, 4224524 req, miss ratio 0.3421, byte miss ratio 0.3421
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    28622, 4224524 req, miss ratio 0.2495, byte miss ratio 0.2495
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    57245, 4224524 req, miss ratio 0.1680, byte miss ratio 0.1680
result/msr_proj_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   114491, 4224524 req, miss ratio 0.1010, byte miss ratio 0.1010
