result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8302, byte miss ratio 0.8302
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    26080, 14600000 req, miss ratio 0.7900, byte miss ratio 0.7900
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    86934, 14600000 req, miss ratio 0.7391, byte miss ratio 0.7391
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   260804, 14600000 req, miss ratio 0.7319, byte miss ratio 0.7319
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   869348, 14600000 req, miss ratio 0.7284, byte miss ratio 0.7284
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1738696, 14600000 req, miss ratio 0.7064, byte miss ratio 0.7064
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  3477392, 14600000 req, miss ratio 0.6515, byte miss ratio 0.6515
result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  6954784, 14600000 req, miss ratio 0.6036, byte miss ratio 0.6036
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8297, byte miss ratio 0.8297
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    26080, 14600000 req, miss ratio 0.7890, byte miss ratio 0.7890
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    86934, 14600000 req, miss ratio 0.7391, byte miss ratio 0.7391
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   260804, 14600000 req, miss ratio 0.7319, byte miss ratio 0.7319
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   869348, 14600000 req, miss ratio 0.7284, byte miss ratio 0.7284
