result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4305, 4749563 req, miss ratio 0.9612, byte miss ratio 0.9612
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12916, 4749563 req, miss ratio 0.9559, byte miss ratio 0.9559
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    43055, 4749563 req, miss ratio 0.9448, byte miss ratio 0.9448
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   129167, 4749563 req, miss ratio 0.9363, byte miss ratio 0.9363
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   430557, 4749563 req, miss ratio 0.9258, byte miss ratio 0.9258
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   861115, 4749563 req, miss ratio 0.9213, byte miss ratio 0.9213
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1722230, 4749563 req, miss ratio 0.9185, byte miss ratio 0.9185
result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  3444460, 4749563 req, miss ratio 0.9151, byte miss ratio 0.9151
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4305, 4749563 req, miss ratio 0.9615, byte miss ratio 0.9615
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12916, 4749563 req, miss ratio 0.9559, byte miss ratio 0.9559
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    43055, 4749563 req, miss ratio 0.9448, byte miss ratio 0.9448
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   129167, 4749563 req, miss ratio 0.9363, byte miss ratio 0.9363
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   430557, 4749563 req, miss ratio 0.9258, byte miss ratio 0.9258
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   861115, 4749563 req, miss ratio 0.9213, byte miss ratio 0.9213
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1722230, 4749563 req, miss ratio 0.9185, byte miss ratio 0.9185
result/w86.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  3444460, 4749563 req, miss ratio 0.9151, byte miss ratio 0.9151
result/w86.oracleGeneral.bin                              LRU cache size     4305, 4749563 req, miss ratio 0.9610, byte miss ratio 0.9610
result/w86.oracleGeneral.bin                              LRU cache size    12916, 4749563 req, miss ratio 0.9576, byte miss ratio 0.9576
result/w86.oracleGeneral.bin                              LRU cache size    43055, 4749563 req, miss ratio 0.9554, byte miss ratio 0.9554
